<SYM>,vss,kss
XAR,0.9208422897978494,0.0358134567901234
DDWM,0.8597741943333645,0.0403
ONEY,0.9049178664902052,0.0417366666666666
FDL,0.7912891792814393,0.0425358227848101
JVAL,0.8922361544890449,0.0435215189873417
HON ,0.7684846830735778,0.0440104878048781
VFQY,0.8956389451175376,0.04446
VYMI,0.8076661648271071,0.044463950617284
FNDX,0.8219755926568136,0.0450697530864197
CHTR ,0.707958290096841,0.0451275609756097
FXU,0.8378844978496731,0.0458064197530864
RSPN,0.9130508816856217,0.0459618181818182
CHIQ,0.8828613774373139,0.0465289473684211
AXON ,0.857595281477626,0.0468656097560976
GRID,0.837340592340082,0.0469411111111111
CWB,0.94682091804899,0.0469837037037037
DEM,0.7913062838666737,0.0472502469135802
PPA,0.8901129980230693,0.0473748148148147
RSPG,0.9275247651979156,0.0479764102564102
WTV,0.769215128478096,0.0479899999999999
SPHB,0.857595281477626,0.0481088888888888
FANG ,0.7671923850155427,0.0484051219512194
IUSV,0.7623815821454508,0.0485648148148147
XMHQ,0.8034526968418619,0.0490558024691357
EWC,0.7827486480615984,0.0492298765432098
MFEM,0.9524162699348168,0.0494563157894737
SMLF,0.8097982688789105,0.0495980246913581
PLTR ,0.9771233785124364,0.049669268292683
VFMO,0.8181414932017052,0.0497415789473684
PKW,0.9432259651424052,0.0497496202531645
VEA,0.857595281477626,0.0498155555555556
VB,0.7478259589855952,0.0498464197530864
DLN,0.7634617645006189,0.0499683950617283
EAT,0.8816267706781565,0.0500158536585366
GOOG ,0.8366918265031034,0.0501409756097561
IDMO,0.9941297593652858,0.0504953424657533
RWL,0.9160223876461704,0.0507717283950616
GRPM,0.7740645020349434,0.05093
FLQM,0.7898918900735407,0.0513241975308642
DINT,0.8545853072319818,0.0515029629629628
DGS,0.8517537972190888,0.051688024691358
EMGF,0.9560852064832828,0.0517224691358025
NANR,0.9517157241772204,0.0517978947368421
IPAC,0.8841615219953188,0.0520048148148148
CTSH ,0.7842832204897875,0.0521482926829267
MGV,0.9619045123517126,0.0522118987341772
DON,0.7629738690173578,0.0525797530864198
DIVB,0.8407825674487459,0.0528264197530864
IVE,0.7641170739293333,0.0528691358024691
ENFR,0.7365497222916533,0.0529615584415583
LIN ,0.9150631508073634,0.0530021951219512
VYM,0.6971998218797053,0.0530564197530863
PRF,0.7513413765368396,0.053264074074074
GOOGL ,0.857595281477626,0.0534312195121951
FYC,0.7792461710972022,0.053511081081081
PDD ,0.8109787449378745,0.0535424390243902
MCHP ,0.912482821906103,0.0536014634146342
SCHF,0.8633556006070269,0.0536898765432097
HEZU,0.8205215980285431,0.053708717948718
INTF,0.8935706654250944,0.0537972839506172
SPYV,0.7659573291504943,0.0541648148148147
ISCF,0.8912677635853599,0.0542599999999999
PHO,0.7870865086157738,0.055257160493827
FTXL,0.8942294122551081,0.0556015189873417
PXF,0.9924877610557123,0.0560814814814815
QTUM,0.949068920606437,0.0562595061728394
IEFA,0.9284889411172976,0.0563465432098765
USO,0.770202359261187,0.0565060975609755
FIDU,0.9834091847452404,0.0566391358024691
GEHC ,0.9538870133665526,0.0566692682926829
DASH ,0.936490490188379,0.0566865853658536
BBAX,0.7825348991099582,0.0569477777777778
HAWX,0.9921437627020516,0.0572932394366197
DDOG ,0.9466115804346568,0.0573226829268292
HNDL,0.9892854183225922,0.0573754320987654
AEP ,0.7922480424819025,0.0574060975609756
SHOP ,0.7360912782816857,0.0575356097560976
VDE,0.911607077783561,0.0577474074074074
SPEM,0.965618874089496,0.05783012345679
DIA,0.8155849084153737,0.058057160493827
ICVT,0.9951628163188316,0.058481111111111
SMH,0.760448709320635,0.0586685185185185
STIP,0.7496448428765345,0.0587775609756097
AVGO ,0.6819418791722619,0.0588446341463414
EZM,0.771382393581466,0.0589985714285714
FEZ,0.857595281477626,0.0591192592592592
XSMO,0.79704548779296,0.059563670886076
FNDE,0.8536698929678459,0.0595654320987654
IVOO,0.790899988184004,0.059733086419753
VPU,0.6535481780695945,0.060052098765432
DIVI,0.9401179630593508,0.0604519753086419
SPDW,0.86060819267408,0.060460987654321
EWT,0.770202359261187,0.0606887654320987
TSLA ,0.7806511649250217,0.0607658536585365
IJJ,0.7456657310935662,0.0609781481481481
DWAS,0.8612384750822545,0.06099
FSMD,0.7663374576405103,0.0610592405063291
MAR ,0.9449882036940648,0.06111
PKB,0.8114880682171931,0.0611131168831169
FUTY,0.6687396791982698,0.0611733333333333
RDIV,0.9391420306499868,0.0613309756097561
DSTL,0.857595281477626,0.0613369135802469
FAST ,0.7928733088524283,0.0613731707317072
PFM,0.770202359261187,0.0614063157894736
EELV,0.9867977385277992,0.0616849382716049
HYHG,0.9941297593652858,0.062013606557377
IQLT,0.9164773184182752,0.0621728395061728
QEFA,0.9927205894203264,0.06226
AIA,0.914971924707431,0.0623566666666666
EWD,0.8394772168682832,0.062557160493827
VOOV,0.7226488306983845,0.062606172839506
IEO,0.9795870605680144,0.0626766666666667
APP ,0.8632449240568578,0.0626863414634146
EQWL,0.8924289065479212,0.0628432098765432
IUS,0.8432861014674004,0.0628699999999999
GOEX,0.911607077783561,0.0630855555555555
ILCV,0.8950892571077059,0.0635179746835442
FXO,0.6838453396018845,0.0637034567901233
OUSM,0.7675408469732754,0.0637754320987654
SPMD,0.7334096435667474,0.063911975308642
DGRO,0.770202359261187,0.0643371604938271
SDCI,0.9891385301057436,0.0644461702127659
EXC ,0.7029253822148028,0.06453
VFH,0.7562429735206294,0.0646307407407407
XSHQ,0.7566938088278563,0.0647984210526315
MSTR ,0.7446167129158572,0.0648497560975608
DVY,0.6653180614888733,0.0649666666666667
XEL ,0.7151368137458537,0.0650990243902439
IJH,0.7451939662484917,0.065131975308642
PID,0.8745564658799673,0.0651785185185185
GILD ,0.7698690145039064,0.0653319512195122
FENY,0.8959362522484198,0.0655459259259259
FTXN,0.956809706009388,0.065812564102564
USRT,0.770202359261187,0.0659476543209875
LULU ,0.799836010240926,0.0659482926829267
EWL,0.8784973913256988,0.0660303703703703
SNPS ,0.9047592734621608,0.0660468292682927
JSMD,0.888429224012412,0.0661273684210526
PY,0.822339667210321,0.0662485714285714
CEG ,0.6767264114115024,0.0664119512195121
AZN ,0.9293161466327472,0.0664948780487804
MDYV,0.7339420333366494,0.0665008641975308
CMCSA ,0.6796154013012792,0.0666021951219512
VAW,0.857595281477626,0.0666665853658536
IHDG,0.9434170942254532,0.0667739024390243
EA ,0.7922266183859286,0.0668809756097561
XHB,0.9092417990376768,0.0669012345679012
SCHD,0.7061448072440117,0.0669167901234567
XMMO,0.7194500106757046,0.066924074074074
HYZD,0.946624203823022,0.0671707792207793
